surnames,frequency_first,frequency_second,frequency_both
SALBIDE,37,40,..
SUSUNAGA,37,40,..
VALENTIM,37,40,..
BAYOLL,37,39,..
BUJEQUE,37,39,..
COCHANCELA,37,39,..
DURANZA,37,39,..
ELESPE,37,39,..
IRUS,37,39,..
ITULAIN,37,39,..
LALUZ,37,39,..
MATUD,37,39,..
PERNICAS,37,39,..
URTOS,37,39,..
VENTOCILLA,37,39,..
AGABO,37,38,..
ALCASENA,37,38,..
CHABLA,37,38,..
FERNANDEZ PINTADO,37,38,..
LOBARTE,37,38,..
LOPETE,37,38,..
MARCED,37,38,..
PIÑELES,37,38,..
VIGAL,37,38,..
VISTUE,37,38,..
ZAIDIN,37,38,..
ZAMPALO,37,38,..
MENDIANO,37,37,10
CHERBUY,37,37,..
CLAUDINO,37,37,..
COMPRES,37,37,..
FERNANDEZ DE OLANO,37,37,..
LOURENZO,37,37,..
MOLEZUN,37,37,..
PEÑALTA,37,37,..
SOLAVERA,37,37,..
VIZCARRONDO,37,37,..
BARDALET,37,36,..
CARNICAS,37,36,..
DUCHITANGA,37,36,..
FELIGRANA,37,36,..
GORDEJO,37,36,..
HUARI,37,36,..
LAZKOZ,37,36,..
LUARTE,37,36,..
MAMPASO,37,36,..
MANOV,37,36,..
MONTROY,37,36,..
RIAZOR,37,36,..
RIBALAYGUA,37,36,..
SISTACHS,37,36,..
TEIS,37,36,..
TRENC,37,36,..
YAGUAS,37,36,..
ABELLAN GARCIA,37,35,..
AMIÑOSO,37,35,..
APABLAZA,37,35,..
ARISTREGUI,37,35,..
CABRATOSA,37,35,..
CARRANCEDO,37,35,..
CAT,37,35,..
CHEREGUINI,37,35,..
CODINES,37,35,..
DE LIRA,37,35,..
ENCINAL,37,35,..
GARAULET,37,35,..
PALLAROL,37,35,..
PASARISA,37,35,..
REDOBLADILLO,37,35,..
RONSANO,37,35,..
SIERCO,37,35,..
SOROETA,37,35,..
SUAREZ DE LEZO,37,35,..
VALDESUEIRO,37,35,..
YEROBI,37,35,..
ALONSO VILLAVERDE,37,34,..
BERGALLO,37,34,..
FUERTES MORENO,37,34,..
GELDRES,37,34,..
GORINES,37,34,..
LUCUIX,37,34,..
REDOLI,37,34,..
ROMERO GIRON,37,34,..
SAENZ DE ZAITEGUI,37,34,..
NAMRI,37,33,10
CHULBI,37,33,..
DE COTE,37,33,..
GAIRI,37,33,..
HIDALGO SAAVEDRA,37,33,..
LLACERA,37,33,..
LOPEZ MONTERO,37,33,..
PEREZ ANDUJAR,37,33,..
PUNTEROS,37,33,..
RANDE,37,33,..
SANTILARI,37,33,..
TXARTERINA,37,33,..
VIYELLA,37,33,..
ASSUNÇAO,37,32,..
BASEDA,37,32,..
CANTALICIO,37,32,..
CASALDARNOS,37,32,..
DEMA,37,32,..
DUCET,37,32,..
ESPERICUETA,37,32,..
EXTREMEIRO,37,32,..
GARCIA PORTILLO,37,32,..
GOIOGANA,37,32,..
HUART,37,32,..
IÑURRATEGI,37,32,..
LANDAIDA,37,32,..
MACEO,37,32,..
SAIRE,37,32,..
SALCIDOS,37,32,..
TRISAN,37,32,..
URECH,37,32,..
VELCHEVA,37,32,..
DE LA VIESCA,37,31,..
DE OTTO,37,31,..
DOSSANTOS,37,31,..
ELGARRISTA,37,31,..
ESTIL LES,37,31,..
FERNANDEZ GETINO,37,31,..
LAMONCHA,37,31,..
LEON SOTELO,37,31,..
MADIROLAS,37,31,..
MASLLOVET,37,31,..
MASONI,37,31,..
NOSELLAS,37,31,..
POLIDANO,37,31,..
PONTIEL,37,31,..
TARRUELL,37,31,..
UBANELL,37,31,..
VALLUGERA,37,31,..
MOORJANI,37,30,15
AMIAS,37,30,..
ARMET,37,30,..
ARTIAGOITIA,37,30,..
BAUSSOU,37,30,..
CABADES,37,30,..
CARCI,37,30,..
GARCIA DE PASO,37,30,..
LARMA,37,30,..
MARROT,37,30,..
MOLINEDO,37,30,..
ONCO,37,30,..
PONZAN,37,30,..
SANTA DARIA,37,30,..
TERME,37,30,..
TURZO,37,30,..
BARBOLIN,37,29,..
BERNILS,37,29,..
GARCIA DE CARELLAN,37,29,..
GARCIA PULGAR,37,29,..
HIGA,37,29,..
INTERIANO,37,29,..
LIGENFERT,37,29,..
LONBIDE,37,29,..
MATEV,37,29,..
PUIGDENGOLES,37,29,..
REYMONDEZ,37,29,..
SAULO,37,29,..
SCHEFLE,37,29,..
ALVAREZ BEIGBEDER,37,28,..
ANTONER,37,28,..
BENIEL,37,28,..
BUJEZ,37,28,..
DEL TRIGO,37,28,..
EZNARRIAGA,37,28,..
FERNANDEZ BACA,37,28,..
FERNANDEZ DE CORA,37,28,..
GUILELLA,37,28,..
HERNANGIL,37,28,..
JUHER,37,28,..
LASVIGNES,37,28,..
LUPERENA,37,28,..
OCHAYTA,37,28,..
PADERNIA,37,28,..
SORRELUZ,37,28,..
SUMOZAS,37,28,..
TRENDAFILOVA,37,28,..
ALVAREZ SOTOMAYOR,37,27,..
BITLLOCH,37,27,..
ESCARAVAJAL,37,27,..
MARTIN GAITERO,37,27,..
MURADOS,37,27,..
SOLERVICENS,37,27,..
TOFIÑOS,37,27,..
AMANTEGI,37,26,..
ARGELAGOS,37,26,..
BOUCHANKOUK,37,26,..
DIAZ CESO,37,26,..
FINCA,37,26,..
GARBERO,37,26,..
GUTIERREZ DE LA CAMARA,37,26,..
JIMENEZ CASTELLANOS,37,26,..
JOB,37,26,..
KURTEVA,37,26,..
LOYAGA,37,26,..
MARSILLACH,37,26,..
MARTIN PORRO,37,26,..
SAN CAYETANO,37,26,..
SANCHEZ DE RIVERA,37,26,..
VALEV,37,26,..
ARGUIZ,37,25,..
ARMAZA,37,25,..
BHAGWANDAS,37,25,..
CANDORCIO,37,25,..
DJEBBAR,37,25,..
ELJARRAT,37,25,..
ESCACHA,37,25,..
ESTEFA,37,25,..
EVTIMOVA,37,25,..
GONZALEZ DE MENDIBIL,37,25,..
LAUDES,37,25,..
LAURRIETA,37,25,..
LEGUIZAMO,37,25,..
MOYA DE LA TORRE,37,25,..
POLITI,37,25,..
REYNAU,37,25,..
ZLATEV,37,25,..
ACHONDO,37,24,..
BOISA,37,24,..
DE LA AZUELA,37,24,..
ESTAÑA,37,24,..
FONTANILS,37,24,..
LIVIANOS,37,24,..
MARTINEZ PIÑEIRO,37,24,..
OSCANOA,37,24,..
PEREZ ROLDAN,37,24,..
REFIGIO,37,24,..
SORZABALBERE,37,24,..
TNIBAR,37,24,..
YANAKIEVA,37,24,..
BECHER,37,23,..
BORRIÑO,37,23,..
BOUKHNOUZ,37,23,..
COLLANTES TERAN,37,23,..
ESKUBI,37,23,..
GALBAS,37,23,..
MARTIN DE LAS PUEBLAS,37,23,..
MINELLI,37,23,..
SOTIROVA,37,23,..
WOLTER,37,23,..
ZAGO,37,23,..
ABARITURIOZ,37,22,..
BARDOU,37,22,..
BISABARROS,37,22,..
BOLT,37,22,..
BRATLLE,37,22,..
DE VALDIVIA,37,22,..
FERNANDEZ ESPINA,37,22,..
GROZDANOV,37,22,..
IRIDOI,37,22,..
LOPEZ AMO,37,22,..
LOPEZ NEGRETE,37,22,..
LUPERCIO,37,22,..
MBUÑA,37,22,..
MENENDEZ PIDAL,37,22,..
PEREZ CASTILLA,37,22,..
PETRINI,37,22,..
RESILLE,37,22,..
RIUDEUBAS,37,22,..
VENTOSELA,37,22,..
AYNOS,37,21,..
AZPILCUETA,37,21,..
BELCHIN,37,21,..
BREVIATI,37,21,..
DE SCALS,37,21,..
DESIRE,37,21,..
EGGER,37,21,..
EJAPA,37,21,..
FORTAÑA,37,21,..
GOETZ,37,21,..
IRATZOKI,37,21,..
MARQUEZ VILLAREJO,37,21,..
PORQUICHO,37,21,..
RIULAS,37,21,..
VALDUCIEL,37,21,..
VERGEZ,37,21,..
ARRAISS,37,20,..
ATOU,37,20,..
ATXIKALLENDE,37,20,..
BARZA,37,20,..
CACHAGUAY,37,20,..
DOBLADEZ,37,20,..
GAERTNER,37,20,..
INDABEREA,37,20,..
LARO,37,20,..
PEREZ MARIN,37,20,..
PIRT,37,20,..
ROVALINO,37,20,..
AJURIAGOGEASCOA,37,19,..
DE CASA,37,19,..
DEBDOUBI,37,19,..
GACITUA,37,19,..
GARCIA ARMERO,37,19,..
KOCK,37,19,..
LAHKIM,37,19,..
MANCAS,37,19,..
QUINZAN,37,19,..
RISO,37,19,..
SERRAVIÑALS,37,19,..
YOVCHEVA,37,19,..
BENMOUSA,37,18,..
BUIG,37,18,..
CHADAD,37,18,..
FINAZZI,37,18,..
GARCIA DE ALBIZU,37,18,..
MARTIN ZAMORANO,37,18,..
MARTINEZ POLO,37,18,..
MAUJO,37,18,..
MERNISSI,37,18,..
UMATAMBO,37,18,..
YOO,37,18,..
BENALAL,37,17,..
BORISSOVA,37,17,..
CAPPELLETTI,37,17,..
CAZAUX,37,17,..
CHAPUIS,37,17,..
GARCIA BARRIOS,37,17,..
GHALEM,37,17,..
GUANYABENS,37,17,..
HAFHAF,37,17,..
HEBRARD,37,17,..
KEHAYOV,37,17,..
MALPELO,37,17,..
MARTINET,37,17,..
MILESI,37,17,..
OLOGARAY,37,17,..
PERRI,37,17,..
RUIZ DE MARTIN ESTEBAN,37,17,..
RUSET,37,17,..
SALBIDEGOITIA,37,17,..
SHIH,37,17,..
SPOSITO,37,17,..
ALAL,37,16,..
ATOUF,37,16,..
BASSAGANYA,37,16,..
BEAL,37,16,..
BECHARI,37,16,..
BOSSE,37,16,..
CAPUANO,37,16,..
DE MALIBRAN,37,16,..
DEMUREZ,37,16,..
EKLUND,37,16,..
ESTENGRE,37,16,..
GOMEZ ULLA,37,16,..
HOUZI,37,16,..
LOPEZ JAMAR,37,16,..
MARTINEZ HERRERA,37,16,..
METE,37,16,..
QUIÑA,37,16,..
RIGHETTI,37,16,..
STEVEN,37,16,..
STOUTI,37,16,..
TARHOULI,37,16,..
TRUCCO,37,16,..
ULLMANN,37,16,..
ABJAYOU,37,15,..
BOUCHARD,37,15,..
BOUDARRA,37,15,..
BOUKHALKHAL,37,15,..
CHERTI,37,15,..
COPPEN,37,15,..
EL JERARI,37,15,..
FERNANDEZ SANTA CRUZ,37,15,..
LE GOFF,37,15,..
MARCHISIO,37,15,..
MHANI,37,15,..
OLAEGUI,37,15,..
RAMELLA,37,15,..
SCHIAVON,37,15,..
AABIDA,37,14,..
AGIRRETXEA,37,14,..
AHBARI,37,14,..
BERRAK,37,14,..
BONSU,37,14,..
BOULAHROUD,37,14,..
CASTA,37,14,..
CHAATOUF,37,14,..
EL ABD,37,14,..
FELLER,37,14,..
GIRBA,37,14,..
GONSALES,37,14,..
JAFARI,37,14,..
LEJA,37,14,..
NICOSIA,37,14,..
NUSSBAUM,37,14,..
TONY,37,14,..
UGOLINI,37,14,..
VIT,37,14,..
ALUJU,37,13,..
BATUGG,37,13,..
BOURDON,37,13,..
DE ENRIQUE,37,13,..
DELORME,37,13,..
DI FRANCO,37,13,..
DRIESSEN,37,13,..
EL ASSAL,37,13,..
KHAMIS,37,13,..
LAMANNA,37,13,..
LEMMENS,37,13,..
LIMIDEIRO,37,13,..
MUÑOZ POLANCO,37,13,..
PARAIRE,37,13,..
PUTAN,37,13,..
SEBAA,37,13,..
SICA,37,13,..
WEGENER,37,13,..
AAKKI,37,12,..
ARABAT,37,12,..
BERROGUI,37,12,..
CUFRE,37,12,..
CUSHICONDOR,37,12,..
DI GREGORIO,37,12,..
GUESSOUS,37,12,..
HAND,37,12,..
KEBDANI,37,12,..
LYAMANI,37,12,..
NACHID,37,12,..
PALMISANO,37,12,..
RODRIGUEZ DE SEPULVEDA,37,12,..
SILVESTER,37,12,..
TSANG,37,12,..
DIABIRA,37,11,9
GANGWANI,37,11,5
AL HASSANI,37,11,..
BATTA,37,11,..
CHAFHI,37,11,..
D'ERRICO,37,11,..
EL BARRAKI,37,11,..
FERNANDEZ CORROTO,37,11,..
KAID,37,11,..
LAAMRI,37,11,..
LIVINGSTONE,37,11,..
MAMEDOVA,37,11,..
NYSTROM,37,11,..
YOUCEF,37,11,..
DAIDAY,37,10,7
ABOULKACEM,37,10,..
AZEHAF,37,10,..
BENCHOHRA,37,10,..
BENNAY,37,10,..
CHAZARRETA,37,10,..
DAHOUTI,37,10,..
GIUFFRIDA,37,10,..
IRURIETA,37,10,..
MOALI,37,10,..
NESTEROVA,37,10,..
OMOBUDE,37,10,..
PIOTROWSKA,37,10,..
REFFAS,37,10,..
RIZZA,37,10,..
TRAVERS,37,10,..
VAN SCHAIK,37,10,..
BERTOLINO,37,9,..
DE ULIBARRI,37,9,..
DIAZ DE QUIJANO,37,9,..
EL FEDG,37,9,..
EL YOUZGHI,37,9,..
GHANDI,37,9,..
HABACHI,37,9,..
HEATON,37,9,..
HUTCHISON,37,9,..
JEBBOURI,37,9,..
MONEY,37,9,..
SAGER,37,9,..
TANTOUN,37,9,..
TURUNEN,37,9,..
ABKIK,37,8,..
AFAZAZ,37,8,..
AHLERS,37,8,..
BETTIOUI,37,8,..
BIRYUKOVA,37,8,..
BOUZOUAD,37,8,..
CAPONE,37,8,..
DARKIK,37,8,..
EL HARDOUZ,37,8,..
EL HARTITI,37,8,..
EL ORF,37,8,..
EZZAHRI,37,8,..
GAJDA,37,8,..
HARFOUF,37,8,..
HAUG,37,8,..
JIMOH,37,8,..
KIRILLOVA,37,8,..
LUISI,37,8,..
MANNERS,37,8,..
PORCHER,37,8,..
SANCHEZ TERAN,37,8,..
SISSANI,37,8,..
TARRAF,37,8,..
TOSA,37,8,..
TUZ,37,8,..
ADLANI,37,7,..
AFOURID,37,7,..
BAICAN,37,7,..
BOUDEN,37,7,..
BOUIH,37,7,..
BOUKADID,37,7,..
BOUZRIBA,37,7,..
DIEDRICH,37,7,..
EL ATMIOUI,37,7,..
EL KHAMMAR,37,7,..
EL MOSATI,37,7,..
EMEKA,37,7,..
LEGROS,37,7,..
LINKE,37,7,..
MEKLAA,37,7,..
MGHARI,37,7,..
PUYET,37,7,..
RADAN,37,7,..
ROLEA,37,7,..
SOUTH,37,7,..
SROKA,37,7,..
WINDSOR,37,7,..
AMAKRANE,37,6,..
AMANKWAH,37,6,..
BAZI,37,6,..
BOUAROUROU,37,6,..
BOUSBA,37,6,..
BRAIN,37,6,..
CARDINALE,37,6,..
DE JOAQUIN,37,6,..
DOGAR,37,6,..
DOUAH,37,6,..
EWERE,37,6,..
FARLEY,37,6,..
GONCHAROV,37,6,..
HATHOUT,37,6,..
JENG,37,6,..
LAGNAOUI,37,6,..
LAWANI,37,6,..
O'MALLEY,37,6,..
ODURO,37,6,..
PERCIVAL,37,6,..
RANCE,37,6,..
TAGA,37,6,..
AERTS,37,5,..
BAKA,37,5,..
BERCARU,37,5,..
BUDICA,37,5,..
CHAHIB,37,5,..
COOKSON,37,5,..
DITTMANN,37,5,..
EL MESLOUHI,37,5,..
ET TAHIRI,37,5,..
HAMADOUCHE,37,5,..
HAMMAMI,37,5,..
KACZMARCZYK,37,5,..
LAGZOULI,37,5,..
LAHMADI,37,5,..
LAIRD,37,5,..
MAKELA,37,5,..
MANUCHARYAN,37,5,..
OKOLI,37,5,..
TABAN,37,5,..
ZANET,37,5,..
ABRAR,37,..,..
AHIZOUNE,37,..,..
AKCHAR,37,..,..
AKHVLEDIANI,37,..,..
AKNIOUI,37,..,..
ALLMAN,37,..,..
AMJID,37,..,..
ANDRESI,37,..,..
ANDRONESI,37,..,..
ASSLAOUI,37,..,..
BADALUTA,37,..,..
BAHOU,37,..,..
BALTARETU,37,..,..
BATTY,37,..,..
BEALE,37,..,..
BELHAJJA,37,..,..
BENTAMOU,37,..,..
BERGAMASCHI,37,..,..
BHATTARAI,37,..,..
BIRLA,37,..,..
BIRLEANU,37,..,..
BLANARIU,37,..,..
BOUCHKOUR,37,..,..
BOUDIAF,37,..,..
BOUDOU,37,..,..
BOUKHANA,37,..,..
BOUTARFES,37,..,..
BRATIANU,37,..,..
BYE,37,..,..
CARAMIDARU,37,..,..
CARJAN,37,..,..
CATRINOI,37,..,..
CHAALA,37,..,..
CHAHLAOUI,37,..,..
CHIOSA,37,..,..
CHISALITA,37,..,..
CHKHIBOU,37,..,..
CIOBANESCU,37,..,..
CIOLOCA,37,..,..
CIOVICA,37,..,..
CONEAC,37,..,..
CUTEAN,37,..,..
DARDOUCHE,37,..,..
DI FRANCESCO,37,..,..
DONTU,37,..,..
ECKHARDT,37,..,..
EDOKPAYI,37,..,..
EL AMERANY,37,..,..
EL ANABI,37,..,..
EL ASSAS,37,..,..
EL HIMRI,37,..,..
EL HMOUDI,37,..,..
EL OUADNI,37,..,..
ELDRIDGE,37,..,..
ESSAOUDI,37,..,..
FAKHREDDINE,37,..,..
FERTU,37,..,..
FLUERAS,37,..,..
FRITH,37,..,..
GHEORGHIES,37,..,..
GHIOC,37,..,..
GINDEA,37,..,..
GORGON,37,..,..
GOULDING,37,..,..
GRIGUER,37,..,..
GROENEVELD,37,..,..
HEWSON,37,..,..
IBRIAN,37,..,..
ILICA,37,..,..
INCZE,37,..,..
IVASHCHENKO,37,..,..
IVES,37,..,..
JAKUBOWSKI,37,..,..
JAOUDI,37,..,..
JATTE,37,..,..
JDEY,37,..,..
JDIA,37,..,..
JUNAID,37,..,..
KHELFAOUI,37,..,..
KOUHOUS,37,..,..
KRAL,37,..,..
KWASI,37,..,..
LACUSTA,37,..,..
LAROUI,37,..,..
LAZAREAN,37,..,..
LEOVEANU,37,..,..
LUPSAN,37,..,..
LUTSIV,37,..,..
MAGASSOUBA,37,..,..
MARJAOUI,37,..,..
MASTOUR,37,..,..
MINCULESCU,37,..,..
MUSELIANI,37,..,..
MUTII,37,..,..
NOAKES,37,..,..
OKOH,37,..,..
OUAOUA,37,..,..
PALAGE,37,..,..
PAPAR,37,..,..
PARFENI,37,..,..
PAUDEL,37,..,..
PAVLINOV,37,..,..
PETRYK,37,..,..
PREOTEASA,37,..,..
RADOSLAV,37,..,..
RAITA,37,..,..
RECE,37,..,..
RISTACHE,37,..,..
ROTARESCU,37,..,..
RUSCONI,37,..,..
SAMARTINEAN,37,..,..
SAROUI,37,..,..
SBARCEA,37,..,..
SEVDALINOV,37,..,..
SOCIU,37,..,..
SOKOLOWSKI,37,..,..
SPANIOL,37,..,..
STANCEA,37,..,..
STARKEY,37,..,..
STRUK,37,..,..
TARASYUK,37,..,..
TECUCEANU,37,..,..
TIBA,37,..,..
TIRDEA,37,..,..
TIRNOVAN,37,..,..
TLEMCANI,37,..,..
TRUPINA,37,..,..
TURRI,37,..,..
TURTURICA,37,..,..
UD DIN,37,..,..
URLEA,37,..,..
VAN DEN BERGH,37,..,..
VANDEVELDE,37,..,..
VELYCHKO,37,..,..
WATKINSON,37,..,..
WIGHTMAN,37,..,..
WILLOUGHBY,37,..,..
YAREMCHUK,37,..,..
YUDINA,37,..,..
ZAHIU,37,..,..
ZERGUIT,37,..,..
ZYADI,37,..,..
DE RUIZ,36,117,..
FAUSTERO,36,98,..
DE MONTES,36,85,..
ZAA,36,82,..
JUVENTENY,36,77,..
ARRAYAGO,36,75,..
DESOJO,36,70,..
RIEGAS,36,70,..
PORRERA,36,69,..
DE PROPIOS,36,68,..
AGUERREBERE,36,67,..
ALDEAN,36,67,..
ULPIANO,36,67,..
GARBALLO,36,66,..
ADRA,36,65,..
MACHICOTE,36,65,..
TORIJAS,36,65,..
ANOLL,36,62,..
CHALEZQUER,36,60,..
CUIXERES,36,60,..
ESTARRIOL,36,60,..
GOMARI,36,60,..
MONSENY,36,60,..
UVIÑA,36,60,..
NONIDE,36,57,..
OURILLE,36,57,..
SOBRECASES,36,57,..
CASTANO,36,55,..
ALBARIÑO,36,54,..
AUTON,36,54,..
BAIA,36,54,..
LECEAGA,36,54,..
PAMPLO,36,54,..
BANKOVA,36,53,..
DE ALVARADO,36,53,..
MANDUCA,36,53,..
MARBELLA,36,53,..
ALABOR,36,52,..
CASAUCAU,36,52,..
ECHUACA,36,52,..
GRAFIADA,36,52,..
PAYETA,36,52,..
BADAYA,36,51,..
CAHIS,36,51,..
DEL PULGAR,36,51,..
LAMIN,36,51,..
LARRECHI,36,51,..
TEJENA,36,51,..
BUJELLA,36,50,..
LLENDERROZAS,36,50,..
MIRALVES,36,50,..
MOLLONS,36,50,..
SAMATAN,36,50,..
IRUNGARAY,36,49,..
BOTELLAS,36,48,..
CARRELO,36,48,..
ORTIZ DE SOLORZANO,36,48,..
VILAS BOAS,36,48,..
BASARAN,36,47,..
NESPLE,36,47,..
ORIZO,36,47,..
VELILLAS,36,47,..
CHAVETE,36,46,..
GERMIÑAS,36,46,..
MALALE,36,46,..
MOYON,36,46,..
NICOLI,36,46,..
ZAFONT,36,46,..
PUIGBARRACA,36,45,..
TEMPA,36,45,..
VELOSA,36,45,..
VIEYTEZ,36,45,..
ALCAUSA,36,44,..
CERCIDO,36,44,..
EGIDAZU,36,44,..
GUIBERNAU,36,44,..
HERDUGO,36,44,..
OLABERRIA,36,44,..
PANICOT,36,44,..
PARGAS,36,44,..
SANCLAUDIO,36,44,..
AMILS,36,43,..
ANDURELL,36,43,..
FLAMIL,36,43,..
MAGRAÑAL,36,43,..
MENA BERNAL,36,43,..
RECAÑO,36,43,..
SALLAVERA,36,43,..
YMBERT,36,43,..
ARMALE,36,42,..
CALICO,36,42,..
FORTICH,36,42,..
SAEZ DE CERAIN,36,42,..
ULINES,36,42,..
BALTAN,36,41,..
BOHORQUES,36,41,..
DOÑABEITIA,36,41,..
GAIZTARRO,36,41,..
GILOLMO,36,41,..
HUAYAMAVE,36,41,..
MACHIRANT,36,41,..
MINO,36,41,..
OLLAQUINDIA,36,41,..
ENCONTRA,36,40,..
ESCARIHUELA,36,40,..
FERNANDEZ DE LUZ,36,40,..
GOMEZ AGUERO,36,40,..
HERNAN PEREZ,36,40,..
LAPERA,36,40,..
LORZ,36,40,..
NAREZO,36,40,..
PAVILLARD,36,40,..
RUISECO,36,40,..
ANDRADA VANDERWILDE,36,39,..
BERROSPE,36,39,..
HONGUERO,36,39,..
INAGA,36,39,..
LARRAÑEGUI,36,39,..
MAZKIARAN,36,39,..
MENENDEZ DE LUARCA,36,39,..
SANTULARIO,36,39,..
SECA,36,39,..
VALLADAREZ,36,39,..
ANGUIZ,36,38,..
ASENCOR,36,38,..
BABIERA,36,38,..
FERO,36,38,..
LICEA,36,38,..
LOMANA,36,38,..
MALAXECHEBARRIA,36,38,..
MONTANEZ,36,38,..
REBOLLIDA,36,38,..
TEULON,36,38,..
VILLABOA,36,38,..
ANGELINO,36,37,..
BIRBA,36,37,..
BUSELHAM,36,37,..
CABRAFIGA,36,37,..
CHILLOGALLO,36,37,..
DEL TIEMPO,36,37,..
FERNANDEZ VALMAYOR,36,37,..
GARCIA RODRIGO,36,37,..
GIULI,36,37,..
MALABIA,36,37,..
MOLGUERO,36,37,..
MOLINARY,36,37,..
PACAREU,36,37,..
REBOURAS,36,37,..
SANZ PASTOR,36,37,..
SELVATICO,36,37,..
ARGELAGA,36,36,..
CORTEA,36,36,..
FREDERICO,36,36,..
GARAÑO,36,36,..
GUEVEA,36,36,..
MARTIN PERALTA,36,36,..
PEREZ RASILLA,36,36,..
PICORELLI,36,36,..
SAVARIEGO,36,36,..
TRUPITA,36,36,..
YNOA,36,36,..
ALBASINI,36,35,..
BUERIA,36,35,..
CARRASCO MUÑOZ,36,35,..
CASET,36,35,..
CUCHALLO,36,35,..
EKOBO,36,35,..
GUARAYO,36,35,..
LABORIAS,36,35,..
LEAL DE IBARRA,36,35,..
LLAVANERAS,36,35,..
MURUGO,36,35,..
RENDOS,36,35,..
SANCHEZ CAPUCHINO,36,35,..
SAYAY,36,35,..
TORRES QUEVEDO,36,35,..
UNCETABARRENECHEA,36,35,..
VEDREÑO,36,35,..
VILLAFANA,36,35,..
WASALDUA,36,35,..
BARTOLOMEU,36,34,..
FREYTAS,36,34,..
GASQUED,36,34,..
LA MADRID,36,34,..
LANGUIZ,36,34,..
LOPEZ GOMEZ,36,34,..
MELDAÑA,36,34,..
QUERUBIN,36,34,..
SANCHEZ CAPITAN,36,34,..
SEGALERVA,36,34,..
TABLAS,36,34,..
YANQUI,36,34,..
AIGUAVIVA,36,33,..
AMONARRAIZ,36,33,..
ARSIS,36,33,..
BENEGA,36,33,..
BOVES,36,33,..
CORMANO,36,33,..
DAVILLA,36,33,..
DE CODES,36,33,..
ENGENIOS,36,33,..
FACIUS,36,33,..
FERRUZOLA,36,33,..
GARRIES,36,33,..
GIMENEZ SALINAS,36,33,..
GONDAN,36,33,..
MAURENZA,36,33,..
MERARIO,36,33,..
PARTAGAS,36,33,..
PENTON,36,33,..
REINAO,36,33,..
TULCANAZO,36,33,..
USCA,36,33,..
ANGUISACA,36,32,..
ARBI,36,32,..
BISET,36,32,..
CASSINA,36,32,..
CHANCHO,36,32,..
DENEV,36,32,..
IRASUEGI,36,32,..
MASSI,36,32,..
MAZA DE LIZANA,36,32,..
MONTANERA,36,32,..
PICOUTO,36,32,..
PITTO,36,32,..
RICOLFE,36,32,..
ROYER,36,32,..
SANCHEZ HORNERO,36,32,..
TOBED,36,32,..
GIA,36,31,6
AMOEIRO,36,31,..
ANDELO,36,31,..
BARJE,36,31,..
CAHUCHOLA,36,31,..
COMIA,36,31,..
DIAZ DE VILLEGAS,36,31,..
FILARDO,36,31,..
IBUJES,36,31,..
IVANCO,36,31,..
LEMAT,36,31,..
LIZARRA,36,31,..
MORESI,36,31,..
MUNEVAR,36,31,..
OUSINDE,36,31,..
PIERNAU,36,31,..
TOSSAS,36,31,..
VASSEROT,36,31,..
AGARRABEITIA,36,30,..
ALANYA,36,30,..
BAJEN,36,30,..
BALUE,36,30,..
CASSAGNE,36,30,..
CRUSATS,36,30,..
DOMPABLO,36,30,..
GUAUS,36,30,..
HERNANDEZ DE MADRID,36,30,..
HOYS,36,30,..
LINARES RIVAS,36,30,..
LOUSTAU,36,30,..
MESSEGUE,36,30,..
PABLO ROMERO,36,30,..
PIANA,36,30,..
SOLERDELCOLL,36,30,..
DEMAYA,36,29,11
ADEBA,36,29,..
BALTUILLE,36,29,..
CARBU,36,29,..
CAZCO,36,29,..
CHAPRESTO,36,29,..
DAMONT,36,29,..
ESEBERRI,36,29,..
GARCIA MARGALLO,36,29,..
IRATZAGORRIA,36,29,..
LLADANOSA,36,29,..
LOERI,36,29,..
MANDILEGO,36,29,..
MEKI,36,29,..
OPORTA,36,29,..
SCHEROFF,36,29,..
STOLLE,36,29,..
URIBEETXEBERRIA,36,29,..
VERNICH,36,29,..
YANO,36,29,..
ALVAREZ URIA,36,28,..
ARBOIRO,36,28,..
ASCASSO,36,28,..
BALANZO,36,28,..
CATTONI,36,28,..
DOIRO,36,28,..
GARCIA ALEGRE,36,28,..
IRARAGORRI,36,28,..
LAUDE,36,28,..
LEG,36,28,..
LEGARDON,36,28,..
MATILLO,36,28,..
MAZADIEGO,36,28,..
ORUJ,36,28,..
PONTIGA,36,28,..
RETUERCE,36,28,..
ROMEROSA,36,28,..
SANCHEZ PAUS,36,28,..
SERESOLA,36,28,..
STAYKOVA,36,28,..
VIVES DE LA CORTADA,36,28,..
APONTES,36,27,..
ARZANEGUI,36,27,..
CARRAZO,36,27,..
CAUHE,36,27,..
CORDOVIN,36,27,..
JUBELLS,36,27,..
MONASTERIOS,36,27,..
MONGAR,36,27,..
MUGARTEGI,36,27,..
NERECAN,36,27,..
ORTIZ DE VIÑASPRE,36,27,..
ORTIZ ECHAGUE,36,27,..
RAEDO,36,27,..
ROIJALS,36,27,..
TROBALON,36,27,..
WAFLAR,36,27,..
ZUAZOLACIGORRAGA,36,27,..
BELILLAS,36,26,..
BRIL,36,26,..
DUCAT,36,26,..
DUWISON,36,26,..
EL YACHOUTI,36,26,..
HAVA,36,26,..
IGON,36,26,..
